code,intentKey,displayName,confidence,families,goapCandidates,sourceRowCount,sourceSlots,evidence
0,wait_or_quest_fallback,Wait / quest fallback (code-level ambiguous),observed_ambiguous,quest,Wait,16,QUEST - 00|QUEST - 00|QUEST - 01|QUEST - 01|QUEST - 02|QUEST - 02|QUEST - 03|QUEST - 03|QUEST - 04|QUEST - 04|QUEST - 05|QUEST - 05|QUEST - 06|QUEST - 06|QUEST - 07|QUEST - 07,Build 41/45: cPlActWait with planner code 0|Build 50: selected PlanCtrl nodes link to Wait ID 0 and Follow ID 1 fallback|cmc.prt: code 0 is shared by 16 quest rows; full tuple is required|Build 52 static planner slot: Wait
1,follow_arisen,Follow Arisen,compiled_links,party,Follow,1,PL_Party - 01,Build 40/42: cPlActRun while following with planner code 1|Build 50: selected PlanCtrl nodes link directly to Follow ID 1 and Jump ID 2|Build 52 static planner slot: Follow
2,jump,Jump,planner_static_links,party,Jump,1,PL_Party - 03,Build 52: planner slot 2 links directly to Jump ActionInterfaceParam
3,climb,Climb,planner_static_links,party,Climb,1,PL_Party - 05,Build 52: planner slot 3 links directly to Climb ActionInterfaceParam
4,unknown_code_4,Wait/follow tactical response,family_only,wait_follow,,1,Wait_Follow - 01,Only cmc.prt source-slot family is known
5,unknown_code_5,Wait/follow tactical response,family_only,wait_follow,,1,Wait_Follow - 06,Only cmc.prt source-slot family is known
6,hold_action,Hold Action,planner_static_links,wait_follow,HoldAction,1,Wait_Follow - 07,Build 52: planner slot 6 links directly to HoldAction ActionInterfaceParam
7,unknown_code_7,Enemy-related response,family_only,enemy,,1,Enemy - 04,Only cmc.prt source-slot family is known
8,unknown_code_8,Personal/situation response,family_only,personal,,1,Situ_Personal - 00,Only cmc.prt source-slot family is known
9,receive,Receive,planner_only,,Receive,0,,"Build 52: planner slot exists and links to Receive, but cmc.prt has no source row"
10,cling,Cling,planner_static_links,personal,Cling,1,Situ_Personal - 05,Build 52: planner slot 10 links directly to Cling ActionInterfaceParam
11,cover,Cover,planner_static_links,personal,Cover,1,Situ_Personal - 05,Build 52: planner slot 11 links directly to Cover ActionInterfaceParam
12,help_action,Help Action,planner_static_links,enemy,HelpAction,1,Enemy - 02,Build 52: planner slot 12 links directly to HelpAction ActionInterfaceParam
13,unknown_code_13,Party/Arisen relation,family_only,party,,1,PL_Party - 06,Only cmc.prt source-slot family is known
